,name,city,rating,rating_count,cost,cuisine
9351,Pastas By Pizza Hut,"Koramangala,Bangalore",3.8,50,300,"Pastas,Pizzas"
9352,Halli Donne Biryani,"Koramangala,Bangalore",3.5,20,200,South Indian
9356,Pipabu,"Koramangala,Bangalore",4.1,100,250,"Pizzas,Italian"
9358,Kerala Note Book,"Koramangala,Bangalore",3.4,20,350,"Kerala,Biryani"
9359,Biryani By Kilo,"Koramangala,Bangalore",4.2,500,500,"Biryani,Hyderabadi"
9361,PVR Cafe,"Koramangala,Bangalore",3.9,20,400,"Snacks,Fast Food"
9362,EatFit,"Koramangala,Bangalore",4.3,1000,270,"Healthy Food,Pizzas"
9363,Brownie Points - Gourmet Brownies,"Koramangala,Bangalore",4.5,20,250,Desserts
9364,FreshMenu,"Koramangala,Bangalore",4.0,1000,250,"Chinese,Continental"
9365,Nando's,"Koramangala,Bangalore",4.2,100,450,"Portuguese,African"
9369,Chianti,"Koramangala,Bangalore",4.0,100,1250,"Italian,Pizzas"
9370,Keventers Ice Cream,"Koramangala,Bangalore",4.3,20,200,"Ice Cream,Desserts"
9371,Zeugar Sugar Free,"Koramangala,Bangalore",4.4,50,199,"Healthy Food,Desserts"
9372,Chaatimes,"Koramangala,Bangalore",3.7,50,150,"Chaat,Beverages"
9374,Canteen Central by Eatfit,"Koramangala,Bangalore",4.2,20,350,"Pizzas,American"
9376,Giani Ice Cream,"Koramangala,Bangalore",4.2,50,300,"Ice Cream,Desserts"
9377,DYU ART CAFE,"Koramangala,Bangalore",4.2,100,400,"Italian,Continental"
9378,McDonald's Gourmet Burger Collection,"Koramangala,Bangalore",4.3,50,600,"Burgers,Beverages"
9381,Chai Pearl,"Koramangala,Bangalore",4.6,20,200,"Beverages,Snacks"
9383,Sicily,"Koramangala,Bangalore",4.8,20,800,Continental
9385,The Burger Craft,"Koramangala,Bangalore",4.3,50,600,Continental
9387,Sichuan,"Koramangala,Bangalore",4.2,100,500,Chinese
9390,Kitchens of China,"Koramangala,Bangalore",4.1,50,450,"Chinese,Combo"
9391,Shahenshah Biryani,"Koramangala,Bangalore",3.8,20,400,"Biryani,North Indian"
9394,The Golden Thali,"Koramangala,Bangalore",4.2,20,300,"Thalis,North Indian"
9398,The Golden Bowl,"Koramangala,Bangalore",4.3,20,250,"North Indian,Punjabi"
9399,Oh My Shawarma,"Koramangala,Bangalore",4.3,100,300,"Fast Food,Beverages"
9401,Sanskari Biryani,"Koramangala,Bangalore",4.4,20,300,"Biryani,Mughlai"
9402,Garden Asia,"Koramangala,Bangalore",4.0,50,500,Chinese
9405,Sendhoor coffee,"Koramangala,Bangalore",4.4,100,200,"Beverages,South Indian"
9408,Momos Mania,"Koramangala,Bangalore",4.0,20,150,"Chinese,Fast Food"
9411,Malabar Cafe,"Koramangala,Bangalore",3.4,100,349,"Kerala,South Indian"
9412,Mewar Kitchen,"Koramangala,Bangalore",4.6,20,350,Indian
9415,Art of Delight,"Koramangala,Bangalore",4.3,100,300,"Desserts,Ice Cream"
9416,Burger Blues,"Koramangala,Bangalore",3.8,20,250,"Fast Food,American"
9417,Momo Zone - The Momo Company,"Koramangala,Bangalore",4.0,100,150,"Chinese,Tibetan"
9418,ROLLS & WRAPS,"Koramangala,Bangalore",3.7,20,200,"Snacks,Beverages"
9427,The Momo Co.,"Koramangala,Bangalore",4.0,20,250,"Chinese,Pan-Asian"
9428,Ludos Pizza,"Koramangala,Bangalore",4.1,100,300,Pizzas
9430,Aalishan Restaurant & Caterer,"Koramangala,Bangalore",4.0,100,290,"Mughlai,North Indian"
9432,Pathaan Sir,"Koramangala,Bangalore",3.9,100,200,North Indian
